seed,grounding_freq,box_style,success_rate,peak_vram_gb,avg_step_latency_ms,e2e_loop_rate_hz,wall_time_sec,exit_code,run_dir,eval_s,eval_ep_s,task_success_rates
0,1,edge,46.0000,8.346,1386.343408,0.721322,7208.983129,0,/home/swagat/lerobot/outputs/week3_stage1_sweep/week3_stage1_sweep_20260503_125928/freq_1_style_edge/seed_0,7177.410067,71.774101,libero_10:0=0.0000;libero_10:1=70.0000;libero_10:2=50.0000;libero_10:3=100.0000;libero_10:4=0.0000;libero_10:5=70.0000;libero_10:6=60.0000;libero_10:7=30.0000;libero_10:8=20.0000;libero_10:9=60.0000
1,1,edge,46.0000,8.688,1372.924824,0.728372,7139.207075,0,/home/swagat/lerobot/outputs/week3_stage1_sweep/week3_stage1_sweep_20260503_125928/freq_1_style_edge/seed_1,7107.184747,71.071847,libero_10:0=10.0000;libero_10:1=70.0000;libero_10:2=40.0000;libero_10:3=90.0000;libero_10:4=0.0000;libero_10:5=90.0000;libero_10:6=60.0000;libero_10:7=50.0000;libero_10:8=0.0000;libero_10:9=50.0000
2,1,edge,50.0000,8.347,1348.857787,0.741368,7014.059175,0,/home/swagat/lerobot/outputs/week3_stage1_sweep/week3_stage1_sweep_20260503_125928/freq_1_style_edge/seed_2,6981.154097,69.811541,libero_10:0=30.0000;libero_10:1=50.0000;libero_10:2=50.0000;libero_10:3=80.0000;libero_10:4=20.0000;libero_10:5=90.0000;libero_10:6=90.0000;libero_10:7=30.0000;libero_10:8=10.0000;libero_10:9=50.0000
0,1,filled,44.0000,8.347,1399.102336,0.714744,7275.330609,0,/home/swagat/lerobot/outputs/week3_stage1_sweep/week3_stage1_sweep_20260503_125928/freq_1_style_filled/seed_0,7242.804281,72.428043,libero_10:0=0.0000;libero_10:1=70.0000;libero_10:2=50.0000;libero_10:3=100.0000;libero_10:4=0.0000;libero_10:5=70.0000;libero_10:6=60.0000;libero_10:7=30.0000;libero_10:8=10.0000;libero_10:9=50.0000
1,1,filled,53.0000,8.347,1310.762011,0.762915,6815.960346,0,/home/swagat/lerobot/outputs/week3_stage1_sweep/week3_stage1_sweep_20260503_125928/freq_1_style_filled/seed_1,6781.442401,67.814424,libero_10:0=10.0000;libero_10:1=70.0000;libero_10:2=40.0000;libero_10:3=90.0000;libero_10:4=10.0000;libero_10:5=70.0000;libero_10:6=100.0000;libero_10:7=80.0000;libero_10:8=10.0000;libero_10:9=50.0000
2,1,filled,42.0000,8.347,1434.689354,0.697015,7460.380820,0,/home/swagat/lerobot/outputs/week3_stage1_sweep/week3_stage1_sweep_20260503_125928/freq_1_style_filled/seed_2,7425.222328,74.252223,libero_10:0=30.0000;libero_10:1=50.0000;libero_10:2=40.0000;libero_10:3=80.0000;libero_10:4=0.0000;libero_10:5=70.0000;libero_10:6=70.0000;libero_10:7=20.0000;libero_10:8=10.0000;libero_10:9=50.0000
0,1,mask,45.0000,8.347,1381.251718,0.723981,7182.507594,0,/home/swagat/lerobot/outputs/week3_stage1_sweep/week3_stage1_sweep_20260503_125928/freq_1_style_mask/seed_0,7147.028713,71.470287,libero_10:0=0.0000;libero_10:1=70.0000;libero_10:2=50.0000;libero_10:3=100.0000;libero_10:4=0.0000;libero_10:5=70.0000;libero_10:6=60.0000;libero_10:7=30.0000;libero_10:8=10.0000;libero_10:9=60.0000
1,1,mask,53.0000,8.347,1314.283236,0.760871,6834.274916,0,/home/swagat/lerobot/outputs/week3_stage1_sweep/week3_stage1_sweep_20260503_125928/freq_1_style_mask/seed_1,6801.950891,68.019509,libero_10:0=10.0000;libero_10:1=70.0000;libero_10:2=40.0000;libero_10:3=90.0000;libero_10:4=10.0000;libero_10:5=70.0000;libero_10:6=100.0000;libero_10:7=80.0000;libero_10:8=10.0000;libero_10:9=50.0000
2,1,mask,48.0000,8.347,1393.200069,0.717772,7244.637846,0,/home/swagat/lerobot/outputs/week3_stage1_sweep/week3_stage1_sweep_20260503_125928/freq_1_style_mask/seed_2,7211.779584,72.117796,libero_10:0=30.0000;libero_10:1=50.0000;libero_10:2=50.0000;libero_10:3=80.0000;libero_10:4=20.0000;libero_10:5=90.0000;libero_10:6=90.0000;libero_10:7=30.0000;libero_10:8=10.0000;libero_10:9=30.0000
0,5,edge,48.0000,8.347,1361.166465,0.734664,7078.063726,0,/home/swagat/lerobot/outputs/week3_stage1_sweep/week3_stage1_sweep_20260503_125928/freq_5_style_edge/seed_0,7040.495334,70.404953,libero_10:0=0.0000;libero_10:1=70.0000;libero_10:2=50.0000;libero_10:3=100.0000;libero_10:4=0.0000;libero_10:5=90.0000;libero_10:6=80.0000;libero_10:7=20.0000;libero_10:8=20.0000;libero_10:9=50.0000
1,5,edge,48.0000,8.347,1382.168097,0.723501,7187.276318,0,/home/swagat/lerobot/outputs/week3_stage1_sweep/week3_stage1_sweep_20260503_125928/freq_5_style_edge/seed_1,7155.069499,71.550695,libero_10:0=10.0000;libero_10:1=70.0000;libero_10:2=60.0000;libero_10:3=100.0000;libero_10:4=0.0000;libero_10:5=90.0000;libero_10:6=40.0000;libero_10:7=50.0000;libero_10:8=10.0000;libero_10:9=50.0000
2,5,edge,47.0000,8.347,1398.126231,0.715243,7270.256576,0,/home/swagat/lerobot/outputs/week3_stage1_sweep/week3_stage1_sweep_20260503_125928/freq_5_style_edge/seed_2,7237.139142,72.371391,libero_10:0=30.0000;libero_10:1=50.0000;libero_10:2=50.0000;libero_10:3=90.0000;libero_10:4=10.0000;libero_10:5=70.0000;libero_10:6=70.0000;libero_10:7=40.0000;libero_10:8=20.0000;libero_10:9=40.0000
0,5,filled,44.0000,8.347,1382.330499,0.723416,7188.114163,0,/home/swagat/lerobot/outputs/week3_stage1_sweep/week3_stage1_sweep_20260503_125928/freq_5_style_filled/seed_0,7155.058070,71.550581,libero_10:0=0.0000;libero_10:1=70.0000;libero_10:2=40.0000;libero_10:3=90.0000;libero_10:4=10.0000;libero_10:5=60.0000;libero_10:6=40.0000;libero_10:7=50.0000;libero_10:8=20.0000;libero_10:9=60.0000
1,5,filled,49.0000,8.347,1371.873842,0.728930,7133.747362,0,/home/swagat/lerobot/outputs/week3_stage1_sweep/week3_stage1_sweep_20260503_125928/freq_5_style_filled/seed_1,7100.580101,71.005801,libero_10:0=10.0000;libero_10:1=70.0000;libero_10:2=40.0000;libero_10:3=100.0000;libero_10:4=20.0000;libero_10:5=80.0000;libero_10:6=30.0000;libero_10:7=40.0000;libero_10:8=20.0000;libero_10:9=80.0000
2,5,filled,46.0000,8.347,1390.878618,0.718970,7232.571803,0,/home/swagat/lerobot/outputs/week3_stage1_sweep/week3_stage1_sweep_20260503_125928/freq_5_style_filled/seed_2,7199.872720,71.998727,libero_10:0=30.0000;libero_10:1=50.0000;libero_10:2=50.0000;libero_10:3=80.0000;libero_10:4=10.0000;libero_10:5=70.0000;libero_10:6=70.0000;libero_10:7=40.0000;libero_10:8=30.0000;libero_10:9=30.0000
0,5,mask,44.0000,8.347,1398.415595,0.715095,7271.765156,0,/home/swagat/lerobot/outputs/week3_stage1_sweep/week3_stage1_sweep_20260503_125928/freq_5_style_mask/seed_0,7239.353509,72.393535,libero_10:0=0.0000;libero_10:1=70.0000;libero_10:2=30.0000;libero_10:3=90.0000;libero_10:4=0.0000;libero_10:5=80.0000;libero_10:6=70.0000;libero_10:7=60.0000;libero_10:8=0.0000;libero_10:9=40.0000
1,5,mask,47.0000,8.347,1371.234248,0.729270,7130.419864,0,/home/swagat/lerobot/outputs/week3_stage1_sweep/week3_stage1_sweep_20260503_125928/freq_5_style_mask/seed_1,7096.616191,70.966162,libero_10:0=10.0000;libero_10:1=70.0000;libero_10:2=70.0000;libero_10:3=80.0000;libero_10:4=10.0000;libero_10:5=90.0000;libero_10:6=50.0000;libero_10:7=40.0000;libero_10:8=20.0000;libero_10:9=30.0000
2,5,mask,42.0000,8.347,1492.212145,0.670146,7759.500862,0,/home/swagat/lerobot/outputs/week3_stage1_sweep/week3_stage1_sweep_20260503_125928/freq_5_style_mask/seed_2,7727.269824,77.272698,libero_10:0=30.0000;libero_10:1=50.0000;libero_10:2=40.0000;libero_10:3=80.0000;libero_10:4=0.0000;libero_10:5=70.0000;libero_10:6=70.0000;libero_10:7=20.0000;libero_10:8=10.0000;libero_10:9=50.0000
